GMDandPRIMe_names,MetNames,Match,HMDB,PubChem,ChEBI,KEGG,METLIN,SMILES,CAS,InChI,Formula,MW,RETENTIONTIME,RETENTIONINDEX
M000000_A118008-101-xxx_NA_1189.29_TRUE_VAR5_ALK_D118786,D118786,,,,,,,,,,,,,1189.29
M000000_A118009-101-xxx_NA_1172.22_PRED_VAR5_ALK_3-Methyl-2-oxopentanoic-acid_1_1MeOX_1TMS,3-Methyl-2-oxopentanoic-acid_11TMS,,,,,,,,,,,,,1172.22
M000000_A118010-101-xxx_NA_1177.93_PRED_VAR5_ALK_Unknown#bth-pae-067,Unknown#bth-pae-067,,,,,,,,,,,,,1177.93
M000507_A119001-101-xxx_NA_1167.37_TRUE_VAR5_ALK_Phosphoric acid monomethyl ester (2TMS),Phosphoric acid monomethyl ester,,,,,,,,18291-81-1,InChI=1S/CH5O4P/c1-5-6(2.3)4/h1H3.(H2.2.3.4),C7H21O4PSi2,256.384,,1167.37
M000017_A119002-101-xxx_NA_1174.98_TRUE_VAR5_ALK_Isoleucine (1TMS),Isoleucine,L-Isoleucine,HMDB0000172,6306,17191,C00407,5193,CC[C@H](C)[C@@H](C(=O)O)N,443-79-8,InChI=1S/C6H13NO2/c1-3-4(2)5(7)6(8)9/h4-5H.3.7H2.1-2H3.(H.8.9),C9H21NO2Si,203.354,,1174.98
M000027_A119004-101-xxx_NA_1184.03_TRUE_VAR5_ALK_Alanine. beta- (2TMS),Alanine. beta-,Beta-Alanine,HMDB0000056,239,16958,C00099,5119,C(CN)C(=O)O,107-95-9,InChI=1S/C3H7NO2/c4-2-1-3(5)6/h1-2.4H2.(H.5.6),C9H23NO2Si2,233.456,,1184.03
M000119_A119005-101-xxx_NA_1199.69_TRUE_VAR5_ALK_Norleucine (1TMS),Norleucine,Pipecolic acid,HMDB0000070,849,17964,C00408,50,C1CCNC(C1)C(=O)O,327-57-1,InChI=1S/C6H13NO2/c1-2-3-4-5(7)6(8)9/h5H.2-4.7H2.1H3.(H.8.9)/t5-/m0/s1,C9H21NO2Si,203.354,,1199.69
M000628_A119006-101-xxx_NA_1194.57_TRUE_VAR5_ALK_Leucine. cyclo- (1TMS),Leucine. cyclo-,NA,,,,,,,52-52-8,InChI=1S/C6H11NO2/c7-6(5(8)9)3-1-2-4-6/h1-4.7H2.(H.8.9),C9H19NO2Si,201.338,,1194.57
M000890_A119007-101-xxx_NA_1192.51_TRUE_VAR5_ALK_Phenylacetaldehyde (1MEOX) MP,Phenylacetaldehyde,Phenylacetaldehyde,HMDB0006236,998,16424,C00601,,C1=CC=C(C=C1)CC=O,122-78-1,InChI=1S/C8H8O/c9-7-6-8-4-2-1-3-5-8/h1-5.7H.6H2,C9H11NO,149.19,,1192.51
M000000_A119010-101-xxx_NA_1189.12_PRED_VAR5_ALK_3-Methyl-2-oxopentanoic-acid_2_1MeOX_1TMS,3-Methyl-2-oxopentanoic-acid_21TMS,,,,,,,,,,,,,1189.12
M000000_A119011-101-xxx_NA_1184.08_PRED_VAR5_ALK_Unknown#bth-pae-015,Unknown#bth-pae-015,,,,,,,,,,,,,1184.08
M000000_A119012-101-xxx_NA_1182.47_PRED_VAR5_ALK_Unknown#sst-cgl-004,Unknown#sst-cgl-004,,,,,,,,,,,,,1182.47
M000424_A120001-101-xxx_NA_1200_TRUE_VAR5_ALK_Dodecane,Dodecane,N-Dodecane,HMDB0031444,8182,28817,C08374,,CCCCCCCCCCCC,112-40-3,InChI=1S/C12H26/c1-3-5-7-9-11-12-10-8-6-4-2/h3-12H2.1-2H3,C12H26,170.335,,1200
M000887_A120002-101-xxx_NA_1200.35_TRUE_VAR5_ALK_Acetoacetic acid (2TMS) BP,Acetoacetic acid,Acetoacetic acid,HMDB0000060,96,15344,C00164,276,CC(=O)CC(=O)O,,InChI=1S/C4H6O3/c1-3(5)2-4(6)7/h2H2.1H3.(H.6.7),C10H22O3Si2,246.451,,1200.35
M000884_A120003-101-xxx_NA_1202.09_TRUE_VAR5_ALK_Isobutanoic acid. 3-amino- (2TMS),Isobutanoic acid. 3-amino-,(R)-b-aminoisobutyric acid,HMDB0002299,5459822,16320,C01205,6599,C[C@H](CN)C(=O)O,,InChI=1S/C4H9NO2/c1-3(2-5)4(6)7/h3H.2.5H2.1H3.(H.6.7),C10H25NO2Si2,247.482,,1202.09
M000198_A121001-101-xxx_NA_1198.35_PRED_VAR5_ALK_Butyric acid. 3-amino-. DL- (2TMS),Butyric acid. 3-amino-. DL-,,,,,,,,2835-82-7,InChI=1S/C4H9NO2/c1-3(5)2-4(6)7/h3H.2.5H2.1H3.(H.6.7)/t3-/m0/s1,C10H25NO2Si2,247.482,,1198.35
M000240_A121002-101-xxx_NA_1203.65_TRUE_VAR5_ALK_Cyclopropanecarboxylic acid. 1-amino- (2TMS),Cyclopropanecarboxylic acid. 1-amino-,NA,,,,,,,22059-21-8,InChI=1S/C4H7NO2/c5-4(1-2-4)3(6)7/h1-2.5H2.(H.6.7),C10H23NO2Si2,245.466,,1203.65
M000449_A121003-101-xxx_NA_1121.66_TRUE_VAR5_ALK_Isovaleric acid. 2-oxo- (1MEOX) (1TMS) BP,Isovaleric acid. 2-oxo-,Alpha-ketoisovaleric acid,HMDB0000019,49,16530,C00141,5091,CC(C)C(=O)C(=O)O,759-05-7,InChI=1S/C5H8O3/c1-3(2)4(6)5(7)8/h3H.1-2H3.(H.7.8),C9H19NO3Si,217.338,,1121.66
M000030_A122001-101-xxx_NA_1207.1_TRUE_VAR5_ALK_Valine (2TMS),Valine,L-Valine,HMDB0000883,6287,16414,C00183,5842,CC(C)[C@@H](C(=O)O)N,72-18-4,InChI=1S/C5H11NO2/c1-3(2)4(6)5(7)8/h3-4H.6H2.1-2H3.(H.7.8)/t4-/m0/s1,C11H27NO2Si2,261.509,,1207.1
M000000_A122002-101-xxx_NA_1196.07_PRED_VAR5_ALK_NA,NA,,,,,,,,,,,,,1196.07
M000427_A122003-101-xxx_NA_1197.16_TRUE_VAR5_ALK_Malonic acid (2TMS),Malonic acid,Malonic acid,HMDB0000691,867,30794,C00383,3237,C(C(=O)O)C(=O)O,141-82-2,InChI=1S/C3H4O4/c4-2(5)1-3(6)7/h1H2.(H.4.5)(H.6.7),C9H20O4Si2,248.424,,1197.16
M000891_A122004-101-xxx_NA_1207.61_TRUE_VAR5_ALK_Malonic acid. methyl- (2TMS),Malonic acid. methyl-,Methylmalonic acid,HMDB0000202,487,30860,C02170,3712,CC(C(=O)O)C(=O)O,516-05-2,InChI=1S/C4H6O4/c1-2(3(5)6)4(7)8/h2H.1H3.(H.5.6)(H.7.8),C10H22O4Si2,262.451,,1207.61
M000000_A122011-101-xxx_NA_1216.91_PRED_VAR5_ALK_Dihydroxyacetone_2TMS,Dihydroxyacetone,,,670,16016,,6368,,,,,,,1216.91
M001240_A122014-101-xxx_NA_1227.89_TRUE_VAR5_ALK_Levulinic acid (1MEOX) (1TMS) BP,Levulinic acid,,,11579,45630,,2195,,,InChI=1S/C5H8O3/c1-4(6)2-3-5(7)8/h2-3H2.1H3.(H.7.8),C9H19NO3Si,217.338,,1227.89
M000870_A123002-101-xxx_NA_1208.14_PRED_VAR5_ALK_similar to Pentasiloxane. dodecamethyl,similar to Pentasiloxane. dodecamethyl,,,,,,,,,InChI=1S/H6OSi2/c2-1-3/h2-3H3,,,,1208.14
M000452_A123003-101-xxx_NA_1207.49_TRUE_VAR5_ALK_Glyceraldehyde (1MEOX) (2TMS) MP,Glyceraldehyde,Glyceraldehyde,HMDB0001051,751,5445,C02154,4176,C(C(C=O)O)O,367-47-5,InChI=1S/C3H6O3/c4-1-3(6)2-5/h1.3.5-6H.2H2,C10H25NO3Si2,263.482,,1207.49
M000452_A123004-101-xxx_NA_1194.03_TRUE_VAR5_ALK_Glyceraldehyde (1MEOX) (2TMS) BP,Glyceraldehyde,Glyceraldehyde,HMDB0001051,751,5445,C02154,4176,C(C(C=O)O)O,367-47-5,InChI=1S/C3H6O3/c4-1-3(6)2-5/h1.3.5-6H.2H2,C10H25NO3Si2,263.482,,1194.03
M000453_A123005-101-xxx_NA_1226.93_TRUE_VAR5_ALK_Hydroxyurea (3TMS),Hydroxyurea,Hydroxyurea,HMDB0015140,3657,5816,C07044,,C(=O)(N)NO,127-07-1,InChI=1S/CH4N2O2/c2-1(4)3-5/h5H.(H3.2.3.4),C10H28N2O2Si3,292.598,,1226.93
M000734_A123006-101-xxx_NA_1225.27_TRUE_VAR5_ALK_Nonanoic acid methyl ester (FAME MIX),Nonanoic acid methyl ester,,,15606,44499,,,,1731-84-6,InChI=1S/C10H20O2/c1-3-4-5-6-7-8-9-10(11)12-2/h3-9H2.1-2H3,C10H20O2,172.265,,1225.27
M000887_A123007-101-xxx_NA_1239.9_TRUE_VAR5_ALK_Acetoacetic acid (2TMS) MP,Acetoacetic acid,Acetoacetic acid,HMDB0000060,96,15344,C00164,276,CC(=O)CC(=O)O,,InChI=1S/C4H6O3/c1-3(5)2-4(6)7/h2H2.1H3.(H.6.7),C10H22O3Si2,246.451,,1239.9
M000441_A123008-101-xxx_NA_1236.8_TRUE_VAR5_ALK_Isocaproic acid. 2-oxo- (2TMS),Isocaproic acid. 2-oxo-,Ketoleucine,HMDB0000695,70,48430,C00233,5663,CC(C)CC(=O)C(=O)O,816-66-0,InChI=1S/C6H10O3/c1-4(2)3-5(7)6(8)9/h4H.3H2.1-2H3.(H.8.9),C12H26O3Si2,274.504,,1236.8
M000893_A124001-101-xxx_NA_1220.31_TRUE_VAR5_ALK_Propanoic acid. 2-amino-2-methyl-3-hydroxy- (2TMS),Propanoic acid. 2-amino-2-methyl-3-hydroxy-,NA,,,,,,,,InChI=1S/C4H9NO3/c1-4(5.2-6)3(7)8/h6H.2.5H2.1H3.(H.7.8),C10H25NO3Si2,263.482,,1220.31
M000000_A124002-101-xxx_NA_1221.72_PRED_VAR5_ALK_NA,NA,,,,,,,,,,,,,1221.72
M000438_A124003-101-xxx_NA_1242.06_TRUE_VAR5_ALK_1.3-Dihydroxyaceton (1MEOX) (2TMS) MP,1.3-Dihydroxyaceton,Dihydroxyacetone,HMDB0001882,670,16016,C00184,6368,C(C(=O)CO)O,96-26-4,InChI=1S/C3H6O3/c4-1-3(6)2-5/h4-5H.1-2H2,C10H25NO3Si2,263.482,,1242.06
M000000_A124004-101-xxx_NA_1242.87_TRUE_VAR5_ALK_NA,NA,,,,,,,,,,,,,1242.87
M000000_A124006-101-xxx_NA_1231.3_PRED_VAR5_ALK_Unknown#bth-pae-016,Unknown#bth-pae-016,,,,,,,,,,,,,1231.3
M000000_A124007-101-xxx_NA_1238.44_PRED_VAR5_ALK_Unknown#sst-cgl-008,Unknown#sst-cgl-008,,,,,,,,,,,,,1238.44
M001240_A124010-101-xxx_NA_1241.29_TRUE_VAR5_ALK_Levulinic acid (1MEOX) (1TMS) MP,Levulinic acid,,,11579,45630,,2195,,,InChI=1S/C5H8O3/c1-4(6)2-3-5(7)8/h2-3H2.1H3.(H.7.8),C9H19NO3Si,217.338,,1241.29
M000000_A125001-101-xxx_NA_1223.59_PRED_VAR5_ALK_NA,NA,,,,,,,,,,,,,1223.59
M000441_A125002-101-xxx_NA_1168.35_TRUE_VAR5_ALK_Isocaproic acid. 2-oxo- (1MEOX) (1TMS) BP,Isocaproic acid. 2-oxo-,Ketoleucine,HMDB0000695,70,48430,C00233,5663,CC(C)CC(=O)C(=O)O,816-66-0,InChI=1S/C6H10O3/c1-4(2)3-5(7)6(8)9/h4H.3H2.1-2H3.(H.8.9),C10H21NO3Si,231.364,,1168.35
M000000_A125003-101-xxx_NA_1216.51_PRED_VAR5_ALK_NA,NA,,,,,,,,,,,,,1216.51
M000000_A125004-101-xxx_NA_1230.25_PRED_VAR5_ALK_NA,NA,,,,,,,,,,,,,1230.25
M000000_A125005-101-xxx_NA_1238.2_PRED_VAR5_ALK_NA,NA,,,,,,,,,,,,,1238.2
M000894_A125006-101-xxx_NA_1250.86_TRUE_VAR5_ALK_Propargyl-glycine (2TMS),Propargyl-glycine,,,,,,,,,InChI=1S/C5H7NO2/c1-2-3-6-4-5(7)8/h1.6H.3-4H2.(H.7.8),C11H23NO2Si2,257.477,,1250.86
M000895_A125007-101-xxx_NA_1254.93_TRUE_VAR5_ALK_Oxamic acid (2TMS),Oxamic acid,NA,,,,,,,471-47-6,InChI=1S/C2H3NO3/c3-1(4)2(5)6/h(H2.3.4)(H.5.6),C8H19NO3Si2,233.413,,1254.93
M000000_A125011-101-xxx_NA_1239.95_PRED_VAR5_ALK_Unknown#sst-cgl-009,Unknown#sst-cgl-009,,,,,,,,,,,,,1239.95
M000000_A125012-101-xxx_NA_1244.58_PRED_VAR5_ALK_Unknown#sst-cgl-010a,Unknown#sst-cgl-010a,,,,,,,,,,,,,1244.58
M001241_A125015-101-xxx_NA_1253.94_TRUE_VAR5_ALK_Alanineamide (2TMS),Alanineamide,,,,,,,,,InChI=1S/C3H8N2O/c1-2(4)3(5)6/h2H.4H2.1H3.(H2.5.6)/t2-/m0/s1,C9H24N2OSi2,232.471,,1253.94
M000516_A126001-101-xxx_NA_1229.91_PRED_VAR5_ALK_Norvaline. DL- (2TMS),Norvaline. DL-,L-Proline,HMDB0000162,145742,17203,C00148,29,C1C[C@H](NC1)C(=O)O,2013/12/9,InChI=1S/C5H11NO2/c1-2-3-4(6)5(7)8/h4H.2-3.6H2.1H3.(H.7.8)/t4-/m1/s1,C11H27NO2Si2,261.509,,1229.91
M000428_A126002-101-xxx_NA_1230.28_TRUE_VAR5_ALK_Butanoic acid. 4-hydroxy- (2TMS),Butanoic acid. 4-hydroxy-,4-Hydroxybutyric acid,HMDB0000710,10413,30830,C00989,5678,C(CC(=O)O)CO,591-81-1,InChI=1S/C4H8O3/c5-3-1-2-4(6)7/h5H.1-3H2.(H.6.7),C10H24O3Si2,248.467,,1230.28
M000000_A126003-101-xxx_NA_1226.85_PRED_VAR5_ALK_NA,NA,,,,,,,,,,,,,1226.85
M000000_A126004-101-xxx_NA_1248.07_PRED_VAR5_ALK_NA,NA,,,,,,,,,,,,,1248.07
M000000_A126006-101-xxx_NA_0_FALSE_VAR5_ALK_Propylamine-2.3-diol (3TMS),Propylamine-2.3-diol,,,,,,,,,,,,,0
M000444_A126007-101-xxx_NA_1278.82_TRUE_VAR5_ALK_Pyruvic acid. 3-hydroxy- (1MEOX) (2TMS) BP,Pyruvic acid. 3-hydroxy-,Hydroxypyruvic acid,HMDB0001352,964,30841,C00168,482,C(C(=O)C(=O)O)O,1113-60-6,InChI=1S/C3H4O4/c4-1-2(5)3(6)7/h4H.1H2.(H.6.7),C10H23NO4Si2,277.465,,1278.82
M000896_A126008-101-xxx_NA_1268.99_TRUE_VAR5_ALK_Pyrrole-2-carboxylic acid (1TMS),Pyrrole-2-carboxylic acid,Pyrrole-2-carboxylic acid,HMDB0004230,12473,36751,C05942,3787,C1=CNC(=C1)C(=O)O,634-97-9,InChI=1S/C5H5NO2/c7-5(8)4-2-1-3-6-4/h1-3.6H.(H.7.8),C8H13NO2Si,183.28,,1268.99
M000000_A126011-101-xxx_NA_1266.8_TRUE_VAR5_ALK_D126702,D126702,,,,,,,,,,,,,1266.8
M000000_A126013-101-xxx_NA_1258.06_PRED_VAR5_ALK_Unknown#bth-pae-018,Unknown#bth-pae-018,,,,,,,,,,,,,1258.06
M000000_A127001-101-xxx_NA_1238.54_PRED_VAR5_ALK_NA,NA,,,,,,,,,,,,,1238.54
M000364_A127002-101-xxx_NA_1234.56_PRED_VAR5_ALK_Urea (2TMS),Urea,Urea,HMDB0000294,1176,16199,C00086,6,C(=O)(N)N,57-13-6,InChI=1S/CH4N2O/c2-1(3)4/h(H4.2.3.4),C7H20N2OSi2,204.418,,1234.56
M000805_A127003-101-xxx_NA_1236.16_TRUE_VAR5_ALK_Diethylenglycol (2TMS),Diethylenglycol,NA,,,,,,,111-46-6,InChI=1S/C4H10O3/c5-1-3-7-4-2-6/h5-6H.1-4H2,C10H26O3Si2,250.483,,1236.16
M000000_A127004-101-xxx_NA_1241.85_PRED_VAR5_ALK_NA,NA,,,,,,,,,,,,,1241.85
M000000_A127005-101-xxx_NA_1248.98_PRED_VAR5_ALK_NA,NA,,,,,,,,,,,,,1248.98
M000458_A127006-101-xxx_NA_1261.1_TRUE_VAR5_ALK_Octanoic acid. n- (1TMS),Octanoic acid. n-,Caprylic acid,HMDB0000482,379,28837,C06423,5469,CCCCCCCC(=O)O,124-07-2,InChI=1S/C8H16O2/c1-2-3-4-5-6-7-8(9)10/h2-7H2.1H3.(H.9.10),C11H24O2Si,216.393,,1261.1
M000441_A127007-101-xxx_NA_1206.44_TRUE_VAR5_ALK_Isocaproic acid. 2-oxo- (1MEOX) (1TMS) MP,Isocaproic acid. 2-oxo-,Ketoleucine,HMDB0000695,70,48430,C00233,5663,CC(C)CC(=O)C(=O)O,816-66-0,InChI=1S/C6H10O3/c1-4(2)3-5(7)6(8)9/h4H.3H2.1-2H3.(H.8.9),C10H21NO3Si,231.364,,1206.44
M000444_A127011-101-xxx_NA_1327.41_TRUE_VAR5_ALK_Pyruvic acid. 3-hydroxy- (1MEOX) (2TMS) MP,Pyruvic acid. 3-hydroxy-,Hydroxypyruvic acid,HMDB0001352,964,30841,C00168,482,C(C(=O)C(=O)O)O,1113-60-6,InChI=1S/C3H4O4/c4-1-2(5)3(6)7/h4H.1H2.(H.6.7),C10H23NO4Si2,277.465,,1327.41
M000528_A127012-101-xxx_NA_1271.16_TRUE_VAR5_ALK_2-Piperidinecarboxylic acid (1TMS),2-Piperidinecarboxylic acid,Pipecolic acid,HMDB0000070,849,17964,C00408,50,C1CCNC(C1)C(=O)O,3105-95-1,InChI=1S/C6H11NO2/c8-6(9)5-3-1-2-4-7-5/h5.7H.1-4H2.(H.8.9)/t5-/m0/s1,C9H19NO2Si,201.338,,1271.16
M000578_A127013-101-xxx_NA_1278.01_TRUE_VAR5_ALK_Diethanolamine (2TMS),Diethanolamine,Diethanolamine,HMDB0004437,8113,28123,C06772,3239,C(CO)NCCO,111-42-2,InChI=1S/C4H11NO2/c6-3-1-5-2-4-7/h5-7H.1-4H2,C10H27NO2Si2,249.498,,1278.01
M000000_A127015-101-xxx_NA_1274.21_TRUE_VAR5_ALK_NA127015,NA127015,,,,,,,,,,,,,1274.21
M001242_A127017-101-xxx_NA_1276.94_TRUE_VAR5_ALK_Sarcosineamide (2TMS),Sarcosineamide,Imidazolone,HMDB0004363,504,51023,C06195,7054,C1C(=O)NC=N1,,InChI=1S/C3H8N2O/c1-5-2-3(4)6/h5H.2H2.1H3.(H2.4.6),,,,1276.94
M000015_A128001-101-xxx_NA_1252.52_TRUE_VAR5_ALK_Serine (2TMS),Serine,L-Serine,HMDB0000187,5951,17115,C00065,5203,C([C@@H](C(=O)O)N)O,302-84-1,InChI=1S/C3H7NO3/c4-2(1-5)3(6)7/h2.5H.1.4H2.(H.6.7),C9H23NO3Si2,249.455,,1252.52
M000096_A128002-101-xxx_NA_1260.11_TRUE_VAR5_ALK_Ethanolamine (3TMS),Ethanolamine,Ethanolamine,HMDB0000149,700,16000,C00189,3207,C(CO)N,141-43-5,InChI=1S/C2H7NO/c3-1-2-4/h4H.1-3H2,C11H31NOSi3,HZAXFHJVJLSVMW-UHFFFAOYSA-N,,1260.11
M000347_A128003-101-xxx_NA_1251.31_TRUE_VAR5_ALK_Benzoic acid. (1TMS),Benzoic acid.,Benzoic acid,HMDB0001870,243,30746,C00180,1297,C1=CC=C(C=C1)C(=O)O,65-85-0,InChI=1S/C7H6O2/c8-7(9)6-4-2-1-3-5-6/h1-5H.(H.8.9),C10H14O2Si,194.303,,1251.31
M000000_A128004-101-xxx_NA_1272.15_PRED_VAR5_ALK_NA,NA,,,,,,,,,,,,,1272.15
M000878_A128005-101-xxx_NA_1270.81_TRUE_VAR5_ALK_Ribofuranose. 2-deoxy- [-H2O] (2TMS),Ribofuranose. 2-deoxy-,Deoxyribose,HMDB0003224,22833604,28816,C01801,3258,C1[C@H]([C@@H](O[C@@H]1O)CO)O,,InChI=1S/C5H10O4/c6-2-4-3(7)1-5(8)9-4/h3-8H.1-2H2/t3-.4+.5?/m0/s1,C11H24O3Si2,260.478,,1270.81
M000667_A128008-101-xxx_NA_1274.54_PRED_VAR5_ALK_1-Pyrroline-2-carboxylate (1TMS),1-Pyrroline-2-carboxylate,1-Pyrroline-2-carboxylic acid,HMDB0006875,440046,36761,C03564,,C1CC(=NC1)C(=O)O,,InChI=1S/C5H7NO2/c7-5(8)4-2-1-3-6-4/h1-3H2.(H.7.8),C8H15NO2Si,185.296,,1274.54
M000400_A128009-101-xxx_NA_1283.97_TRUE_VAR5_ALK_Tropine (1TMS),Tropine,Tropine,METPA0074,,,C00729,,,46320-09-6,InChI=1S/C8H15NO/c1-9-6-2-3-7(9)5-8(10)4-6/h6-8.10H.2-5H2.1H3,C11H23NOSi,CYHOMWAPJJPNMW-UHFFFAOYSA-N,,1283.97
M000310_A128010-101-xxx_NA_1531.68_TRUE_VAR5_ALK_Acetylsalicylic acid (1TMS),Acetylsalicylic acid,Aspirin,HMDB0001879,2244,15365,C01405,,CC(=O)OC1=CC=CC=C1C(=O)O,50-78-2,InChI=1S/C9H8O4/c1-6(10)13-8-5-3-2-4-7(8)9(11)12/h2-5H.1H3.(H.11.12),C12H16O4Si,252.339,,1531.68
M000016_A128011-101-xxx_NA_1286.82_TRUE_VAR5_ALK_Threonine. allo- (2TMS),Threonine. allo-,L-Threonine,HMDB0000167,6288,16857,C00188,32,C[C@H]([C@@H](C(=O)O)N)O,144-98-9,InChI=1S/C4H9NO3/c1-2(6)3(5)4(7)8/h2-3.6H.5H2.1H3.(H.7.8),C10H25NO3Si2,263.482,,1286.82
M000000_A128012-101-xxx_NA_1272.14_PRED_VAR5_ALK_Unknown#bth-pae-019,Unknown#bth-pae-019,,,,,,,,,,,,,1272.14
M000000_A128013-101-xxx_NA_1275.86_PRED_VAR5_ALK_Unknown#sst-cgl-014,Unknown#sst-cgl-014,,,,,,,,,,,,,1275.86
M000075_A129001-101-xxx_NA_1262.42_TRUE_VAR5_ALK_Phosphoric acid (3TMS),Phosphoric acid,Phosphate,HMDB0001429,1061,18367,C00009,3231,[O-]P(=O)([O-])[O-],7664-38-2,InChI=1S/H3O4P/c1-5(2.3)4/h(H3.1.2.3.4),C9H27O4PSi3,314.539,,1262.42
M000025_A129002-101-xxx_NA_1264.43_TRUE_VAR5_ALK_Leucine (2TMS),Leucine,L-Leucine,HMDB0000687,6106,15603,C00123,24,CC(C)C[C@@H](C(=O)O)N,328-38-1,InChI=1S/C6H13NO2/c1-4(2)3-5(7)6(8)9/h4-5H.3.7H2.1-2H3.(H.8.9),C12H29NO2Si2,275.535,,1264.43
M000053_A129003-101-xxx_NA_1262.29_TRUE_VAR5_ALK_Glycerol (3TMS),Glycerol,Glycerol,HMDB0000131,753,17522,C00116,105,C(C(CO)O)O,56-81-5,InChI=1S/C3H8O3/c4-1-3(6)2-5/h3-6H.1-2H2,C12H32O3Si3,308.637,,1262.29
M000423_A129004-101-xxx_NA_1305.43_TRUE_VAR5_ALK_Propane-1.3-diol. 2-amino-2-methyl- (3TMS),Propane-1.3-diol. 2-amino-2-methyl-,NA,,,,,,,115-69-5,InChI=1S/C4H11NO2/c1-4(5.2-6)3-7/h6-7H.2-3.5H2.1H3,C13H35NO2Si3,321.679,,1305.43
M000447_A129005-101-xxx_NA_1140.8_PRED_VAR5_ALK_Valero-1.5-lactam (1TMS),Valero-1.5-lactam,,,,,,,,675-20-7,InChI=1S/C5H9NO/c1-4-2-3-5(7)6-4/h4H.2-3H2.1H3.(H.6.7),C8H17NOSi,171.312,,1140.8
M000519_A129006-101-xxx_NA_1257.6_PRED_VAR5_ALK_Alanine. N-acetyl-. DL- (1TMS),Alanine. N-acetyl-. DL-,Pyroglutamic acid,HMDB0000267,7405,18183,C01879,3251,C1CC(=O)N[C@@H]1C(=O)O,1115-69-1,InChI=1S/C5H9NO3/c1-3(5(8)9)6-4(2)7/h3H.1-2H3.(H.6.7)(H.8.9),C8H17NO3Si,203.311,,1257.6
M000603_A129007-101-xxx_NA_1283.91_PRED_VAR5_ALK_Nonan-1-ol. n- (1TMS),Nonan-1-ol. n-,1-Nonanol,HMDB0031265,8914,,C14696,,CCCCCCCCCO,143-08-8,InChI=1S/C9H20O/c1-2-3-4-5-6-7-8-9-10/h10H.2-9H2.1H3,C12H28OSi,216.436,,1283.91
M000399_A129008-101-xxx_NA_1294.66_TRUE_VAR5_ALK_Tropinone (1MEOX),Tropinone,Tropinone,METPA0078,,,C00783,,,532-24-1,InChI=1S/C8H13NO/c1-9-6-2-3-7(9)5-8(10)4-6/h6-7H.2-5H2.1H3/t6-.7+,C9H16N2O,168.237,,1294.66
M000000_A129011-101-xxx_NA_1295.54_TRUE_VAR5_ALK_NA,NA,,,,,,,,,,,,,1295.54
M000000_A129012-101-xxx_NA_1298.99_TRUE_VAR5_ALK_NA129012,NA129012,,,,,,,,,,,,,1298.99
M000000_A129014-101-xxx_NA_1285.71_PRED_VAR5_ALK_Homoserine-lactone_1TMS,Homoserine-lactone,,,,,,,,,,,,,1285.71
M000897_A130001-101-xxx_NA_1280.52_PRED_VAR5_ALK_Glycine. N-acetyl- (1TMS),Glycine. N-acetyl-,,,,,,,,25436-19-5,InChI=1S/C4H7NO3/c1-3(6)5-2-4(7)8/h2H2.1H3.(H.5.6)(H.7.8),C7H15NO3Si,189.285,,1280.52
M000000_A130002-101-xxx_NA_1278.85_PRED_VAR5_ALK_NA,NA,,,,,,,,,,,,,1278.85
M000000_A130003-101-xxx_NA_1285.28_PRED_VAR5_ALK_Siloxane,Siloxane,,,,,,,,,,,,,1285.28
M000533_A130004-101-xxx_NA_1293.26_PRED_VAR5_ALK_Tridecane. n-,Tridecane. n-,Tridecane,HMDB0034284,12388,35998,C13834,,CCCCCCCCCCCCC,629-50-5,InChI=1S/C13H28/c1-3-5-7-9-11-13-12-10-8-6-4-2/h3-13H2.1-2H3,C13H28,184.362,,1293.26
M000898_A130005-101-xxx_NA_1307.81_TRUE_VAR5_ALK_Oxamide (3TMS),Oxamide,,,,,,,,471-46-5,InChI=1S/C2H4N2O2/c3-1(5)2(4)6/h(H2.3.5)(H2.4.6),C11H28N2O2Si3,304.609,,1307.81
M000899_A130006-101-xxx_NA_1302.33_TRUE_VAR5_ALK_Phenylacetic acid (1TMS),Phenylacetic acid,Phenylacetic acid,HMDB0000209,999,30745,C07086,129,C1=CC=C(C=C1)CC(=O)O,,InChI=1S/C8H8O2/c9-8(10)6-7-4-2-1-3-5-7/h1-5H.6H2.(H.9.10),C11H16O2Si,208.329,,1302.33
M000900_A130007-101-xxx_NA_1305.17_TRUE_VAR5_ALK_Diisopropanolamine (2TMS),Diisopropanolamine,,,,,,,,110-97-4,InChI=1S/C6H15NO2/c1-5(8)3-7-4-6(2)9/h5-9H.3-4H2.1-2H3,C12H31NO2Si2,277.551,,1305.17
M001227_A130012-101-xxx_NA_1300.06_TRUE_VAR5_ALK_Glycinamide (2TMS) BP1,Glycinamide  1,,,,,,,,,InChI=1S/C2H6N2O/c3-1-2(4)5/h1.3H2.(H2.4.5),,,,1300.06
M000000_A131001-101-xxx_NA_1281.43_PRED_VAR5_ALK_similar to Diethanolamine (2TMS),similar to Diethanolamine,,,,,,,,,,,,,1281.43
M000000_A131002-101-xxx_NA_1287.62_PRED_VAR5_ALK_NA,NA,,,,,,,,,,,,,1287.62
M000870_A131003-101-xxx_NA_1293.78_PRED_VAR5_ALK_similar to Cyclohexasiloxane. dodecamethyl,similar to Cyclohexasiloxane. dodecamethyl,,,,,,,,,InChI=1S/H6OSi2/c2-1-3/h2-3H3,,,,1293.78
