"","Query","Match","HMDB","PubChem","ChEBI","KEGG","METLIN","SMILES","Comment"
"312","NA","NA","NA","NA","NA","NA","NA","NA","0"
"313","Fumaric acid. 2-methyl-","NA","NA","NA","NA","NA","NA","NA","0"
"314","Tetradecane. n-","NA","NA","NA","NA","NA","NA","NA","0"
"315","Hydroquinone","Hydroquinone","HMDB0002434","785","17594","C00530","6681","C1=CC(=CC=C1O)O","1"
"316","Propaonic acid. 2-amino-3-ureido-","NA","NA","NA","NA","NA","NA","NA","0"
"317","Cinnamaldehyde. trans-","NA","NA","NA","NA","NA","NA","NA","0"
"318","Perillyl alcohol","Perillyl alcohol","HMDB0003634","10819","15420","C02452","6969","CC(=C)C1CCC(=CC1)CO","1"
"319","Tartronic acid","Hydroxypropanedioic acid","HMDB0035227","45","16513","C02287",NA,"C(C(=O)O)(C(=O)O)O","1"
"320","Hydantoin. 5-methyl-","NA","NA","NA","NA","NA","NA","NA","0"
"321","D140626","NA","NA","NA","NA","NA","NA","NA","0"
"322","Malonic acid. methyl-","NA","NA","NA","NA","NA","NA","NA","0"
"323","NA140020 (classified unknown)","NA","NA","NA","NA","NA","NA","NA","0"
"324","5-Hydroxymethylfurfural","5-Hydroxymethyl-2-furancarboxaldehyde","HMDB0034355","237332","412516","C11101",NA,"C1=C(OC(=C1)C=O)CO","1"
"325","Oxomalonic-acid2TMS","NA","NA","NA","NA","NA","NA","NA","0"
"326","Unknown#sst-cgl-020","NA","NA","NA","NA","NA","NA","NA","0"
"327","Serine. O-acetyl-","NA","NA","NA","NA","NA","NA","NA","0"
"328","Lactic acid dimer","NA","NA","NA","NA","NA","NA","NA","0"
"329","NA","NA","NA","NA","NA","NA","NA","NA","0"
"330","NA","NA","NA","NA","NA","NA","NA","NA","0"
"331","NA","NA","NA","NA","NA","NA","NA","NA","0"
"332","NA","NA","NA","NA","NA","NA","NA","NA","0"
"333","Pentanedioic acid. 2-methyl-","NA","NA","NA","NA","NA","NA","NA","0"
"334","NA141014 (classified unknown)","NA","NA","NA","NA","NA","NA","NA","0"
"335","Unknown#sst-cgl-023","NA","NA","NA","NA","NA","NA","NA","0"
"336","Unknown#bth-pae-025","NA","NA","NA","NA","NA","NA","NA","0"
"337","Unknown#bth-pae-027","NA","NA","NA","NA","NA","NA","NA","0"
"338","NA141023 (classified unknown)","NA","NA","NA","NA","NA","NA","NA","0"
"339","Aminomalonic acid","Aminomalonic acid","HMDB0001147","100714","17475","C00872",NA,"C(C(=O)O)(C(=O)O)N","1"
"340","Alanine","L-Alanine","HMDB0000161","5950","16977","C00041",NA,"C[C@@H](C(=O)O)N","1"
"341","NA","NA","NA","NA","NA","NA","NA","NA","0"
"342","NA","NA","NA","NA","NA","NA","NA","NA","0"
"343","NA","NA","NA","NA","NA","NA","NA","NA","0"
"344","Thymine","Thymine","HMDB0000262","1135","17821","C00178","290","CC1=CNC(=O)NC1=O","1"
"345","Methionine","L-Methionine","HMDB0000696","6137","16643","C00073","5664","CSCC[C@@H](C(=O)O)N","1"
"346","Oxaloacetate","Oxalacetic acid","HMDB0000223","970","30744","C00036","123","C(C(=O)C(=O)O)C(=O)O","1"
"347","Pentanedioic acid. 3-methyl-","NA","NA","NA","NA","NA","NA","NA","0"
"348","Proline. 3-hydroxy-. trans-","NA","NA","NA","NA","NA","NA","NA","0"
"349","Hydrocinnamic acid","Hydrocinnamic acid","HMDB0000764","107","28631","C05629","4153","C1=CC=C(C=C1)CCC(=O)O","1"
"350","Diethanolamine","Diethanolamine","HMDB0004437","8113","28123","C06772","3239","C(CO)NCCO","1"
"351","Butanoic acid. 4-methylthio-2-oxo-","NA","NA","NA","NA","NA","NA","NA","0"
"352","2.5-Diketopiperazine","NA","NA","NA","NA","NA","NA","NA","0"
"353","Cysteine","L-Cysteine","HMDB0000574","5862","17561","C00097","5556","C([C@@H](C(=O)O)N)S","1"
"354","Unknown#bth-pae-028","NA","NA","NA","NA","NA","NA","NA","0"
"355","Glutaric acid","Glutaric acid","HMDB0000661","743","17859","C00489","3254","C(CC(=O)O)CC(=O)O","1"
"356","NA","NA","NA","NA","NA","NA","NA","NA","0"
"357","NA","NA","NA","NA","NA","NA","NA","NA","0"
"358","Butanoic acid. 2.4-dihydroxy-","NA","NA","NA","NA","NA","NA","NA","0"
"359","Butyric acid. 2-amino-. DL-","NA","NA","NA","NA","NA","NA","NA","0"
"360","Cyclopropanecarboxylic acid. 1-amino-","NA","NA","NA","NA","NA","NA","NA","0"
"361","Undecanoic acid methyl ester. n-","NA","NA","NA","NA","NA","NA","NA","0"
"362","NA","NA","NA","NA","NA","NA","NA","NA","0"
"363","Norvaline. 3-hydroxy-","NA","NA","NA","NA","NA","NA","NA","0"
"364","Phenol. 2-amino-","NA","NA","NA","NA","NA","NA","NA","0"
"365","Benzylamine","Benzylamine","HMDB0033871","7504","40538","C15562",NA,"C1=CC=C(C=C1)CN","1"
"366","Maleamic acid","Maleamate","METPA0190",NA,NA,"C01596",NA,NA,"1"
"367","N-methyl trans-4-hydroxy-L-proline (2S.4R)-4-hydroxy-1-methyl pyrrolidine-2-carboxylic acid","NA","NA","NA","NA","NA","NA","NA","0"
"368","Unknown#sst-cgl-024","NA","NA","NA","NA","NA","NA","NA","0"
"369","2-Hydroxydecanoic_acid","NA","NA","NA","NA","NA","NA","NA","0"
"370","Glycinamide  2","NA","NA","NA","NA","NA","NA","NA","0"
"371","Alanine. beta-","NA","NA","NA","NA","NA","NA","NA","0"
"372","Cysteine. S-methyl-. DL-","NA","NA","NA","NA","NA","NA","NA","0"
"373","Aspartic acid","L-Aspartic acid","HMDB0000191","5960","17053","C00049","5206","C([C@@H](C(=O)O)N)C(=O)O","1"
"374","NA","NA","NA","NA","NA","NA","NA","NA","0"
"375","NA","NA","NA","NA","NA","NA","NA","NA","0"
"376","NA","NA","NA","NA","NA","NA","NA","NA","0"
"377","similar to Aspartic acid","NA","NA","NA","NA","NA","NA","NA","0"
"378","Erythronic acid-1.4-lactone","NA","NA","NA","NA","NA","NA","NA","0"
"379","Glycine. 2-phenyl-","NA","NA","NA","NA","NA","NA","NA","0"
"380","Proline. 4-hydroxy-. cis-","NA","NA","NA","NA","NA","NA","NA","0"
"381","Benzoic acid. 3-amino-2.3-dihydro-","NA","NA","NA","NA","NA","NA","NA","0"
"382","Acetamide. 2-phenyl-","NA","NA","NA","NA","NA","NA","NA","0"
"383","NA_204_189_133_93","NA","NA","NA","NA","NA","NA","NA","0"
"384","NA144018 (classified unknown)","NA","NA","NA","NA","NA","NA","NA","0"
"385","Cadaverine","Cadaverine","HMDB0002322","273","18127","C01672","3236","C(CCN)CCN","1"
"386","Ethanolamine","Ethanolamine","HMDB0000149","700","16000","C00189","3207","C(CO)N","1"
"387","Taurine","Taurine","HMDB0000251","1123","15891","C00245","31","C(CS(=O)(=O)O)N","1"
"388","Erythrose","Erythrose","HMDB0002649","439574","23956","C01796","289","C1[C@H]([C@H](C(O1)O)O)O","1"
"389","NA","NA","NA","NA","NA","NA","NA","NA","0"
"390","NA","NA","NA","NA","NA","NA","NA","NA","0"
"391","NA","NA","NA","NA","NA","NA","NA","NA","0"
"392","NA","NA","NA","NA","NA","NA","NA","NA","0"
"393","NA","NA","NA","NA","NA","NA","NA","NA","0"
"394","NA","NA","NA","NA","NA","NA","NA","NA","0"
"395","NA","NA","NA","NA","NA","NA","NA","NA","0"
"396","Cysteamine","Cysteamine","HMDB0002991","6058","17141","C01678","3222","C(CS)N","1"
"397","Isobutanoic acid. 3-amino-","NA","NA","NA","NA","NA","NA","NA","0"
"398","Butanoic acid. 4-methylthio-2-oxo-","NA","NA","NA","NA","NA","NA","NA","0"
"399","Aniline. 3.4-dimethyl-","NA","NA","NA","NA","NA","NA","NA","0"
"400","NA145015","NA","NA","NA","NA","NA","NA","NA","0"
"401","NA145016 (classified unknown)","NA","NA","NA","NA","NA","NA","NA","0"
"402","NA145017","NA","NA","NA","NA","NA","NA","NA","0"
"403","NA145018","NA","NA","NA","NA","NA","NA","NA","0"
"404","Dihydroxymalonic-acid","NA","NA","NA","NA","NA","NA","NA","0"
"405","Unknown#bth-pae-030","NA","NA","NA","NA","NA","NA","NA","0"
"406","Unknown#bth-pae-063","NA","NA","NA","NA","NA","NA","NA","0"
"407","Glycinamide","NA","NA","NA","NA","NA","NA","NA","0"
"408","Homoserine","L-Homoserine","HMDB0000719","12647","15699","C00263","5687","C(CO)[C@@H](C(=O)O)N","1"
"409","Erythrose","Erythrose","HMDB0002649","439574","23956","C01796","289","C1[C@H]([C@H](C(O1)O)O)O","1"
"410","NA","NA","NA","NA","NA","NA","NA","NA","0"
"411","NA","NA","NA","NA","NA","NA","NA","NA","0"
"412","Threose","Erythrose","HMDB0002649","439574","23956","C01796","289","C1[C@H]([C@H](C(O1)O)O)O","1"
"413","Homocysteine thiolactone","Homocysteine thiolactone","HMDB0002287","107712",NA,"","6594","C1CSC(=O)C1N","1"
"414","Butanoic acid. 4-amino-3-hydroxy-","NA","NA","NA","NA","NA","NA","NA","0"
"415","Acetamide. 2-phenyl-","NA","NA","NA","NA","NA","NA","NA","0"
"416","Coumarine","Coumarin","HMDB0001218","323","28794","C05851","3525","C1=CC=C2C(=C1)C=CC(=O)O2","1"
"417","Proline. 3-hydroxy-. trans-","NA","NA","NA","NA","NA","NA","NA","0"
"418","Iminodiacetic acid","Iminodiacetic acid","HMDB0011753","8897","24786","C19911",NA,"C(C(=O)O)NCC(=O)O","1"
"419","Uracil. dihydro-","NA","NA","NA","NA","NA","NA","NA","0"
"420","1.2.4-Triazole. 3-amino-","NA","NA","NA","NA","NA","NA","NA","0"
"421","Unknown#bth-pae-065","NA","NA","NA","NA","NA","NA","NA","0"
"422","Unknown#sst-cgl-026","NA","NA","NA","NA","NA","NA","NA","0"
"423","NA","NA","NA","NA","NA","NA","NA","NA","0"
"424","Ornithine-1.5-lactam","NA","NA","NA","NA","NA","NA","NA","0"
"425","Decanoic acid","Capric acid","HMDB0000511","2969","30813","C01571","336","CCCCCCCCCC(=O)O","1"
"426","NA","NA","NA","NA","NA","NA","NA","NA","0"
"427","N-Carboxyglycine","NA","NA","NA","NA","NA","NA","NA","0"
"428","Siloxane","NA","NA","NA","NA","NA","NA","NA","0"
"429","Threose","Erythrose","HMDB0002649","439574","23956","C01796","289","C1[C@H]([C@H](C(O1)O)O)O","1"
"430","Homoserine. beta-. DL-","NA","NA","NA","NA","NA","NA","NA","0"
"431","Oxaloacetate","Oxalacetic acid","HMDB0000223","970","30744","C00036","123","C(C(=O)C(=O)O)C(=O)O","1"
"432","NA147011 (classified unknown)","NA","NA","NA","NA","NA","NA","NA","0"
"433","Proline. 4-hydroxy-. trans-","NA","NA","NA","NA","NA","NA","NA","0"
"434","Nicotinamide","Niacinamide","HMDB0001406","936","17154","C00153","1497","C1=CC(=CN=C1)C(=O)N","1"
"435","Butyro-1.4-lactam. 2-amino-","NA","NA","NA","NA","NA","NA","NA","0"
"436","Cysteine. seleno-methyl-","NA","NA","NA","NA","NA","NA","NA","0"
"437","Diisopropanolamine","NA","NA","NA","NA","NA","NA","NA","0"
"438","Octylamine","NA","NA","NA","NA","NA","NA","NA","0"
"439","Thymine. 5.6-dihydro-","NA","NA","NA","NA","NA","NA","NA","0"
"440","NA_204_189_119_93_79","NA","NA","NA","NA","NA","NA","NA","0"
"441","NA147022","NA","NA","NA","NA","NA","NA","NA","0"
"442","NA147023","NA","NA","NA","NA","NA","NA","NA","0"
"443","Unknown#sst-cgl-028","NA","NA","NA","NA","NA","NA","NA","0"
"444","Unknown#bth-pae-031","NA","NA","NA","NA","NA","NA","NA","0"
"445","Malic acid. 2-methyl-","NA","NA","NA","NA","NA","NA","NA","0"
"446","Glutamine","L-Glutamine","HMDB0000641","5961","18050","C00064","5614","C(CC(=O)N)[C@@H](C(=O)O)N","1"
"447","NA","NA","NA","NA","NA","NA","NA","NA","0"
"448","NA","NA","NA","NA","NA","NA","NA","NA","0"
"449","NA","NA","NA","NA","NA","NA","NA","NA","0"
"450","NA","NA","NA","NA","NA","NA","NA","NA","0"
"451","Norvaline. DL-","NA","NA","NA","NA","NA","NA","NA","0"
"452","NA","NA","NA","NA","NA","NA","NA","NA","0"
"453","Tartronic acid. 2-(methylaminomethyl)-","NA","NA","NA","NA","NA","NA","NA","0"
"454","Alanyl-alanine","Alanyl-Alanine","HMDB0028680",NA,NA,"",NA,"CC(N)C(O)=NC(C)C(O)=O","1"
"455","Thymine. 5.6-dihydro-","NA","NA","NA","NA","NA","NA","NA","0"
"456","Butanoic acid. 4-acetamido-","NA","NA","NA","NA","NA","NA","NA","0"
"457","Methionine. seleno-","NA","NA","NA","NA","NA","NA","NA","0"
"458","Acetic acid. 4-chlorophenyl-","NA","NA","NA","NA","NA","NA","NA","0"
"459","NA148018","NA","NA","NA","NA","NA","NA","NA","0"
"460","Unknown#sst-cgl-029","NA","NA","NA","NA","NA","NA","NA","0"
"461","Unknown#bth-pae-061","NA","NA","NA","NA","NA","NA","NA","0"
"462","Malic acid","Malic acid","HMDB0000744","525","6650","C00711","118","C(C(C(=O)O)O)C(=O)O","1"
"463","Threitol","D-Threitol","HMDB0004136","169019","48300","C16884",NA,"C([C@H]([C@@H](CO)O)O)O","1"
"464","NA","NA","NA","NA","NA","NA","NA","NA","0"
"465","Homoserine lactone","NA","NA","NA","NA","NA","NA","NA","0"
"466","Butane. 1.2.4-trihydroxy-","NA","NA","NA","NA","NA","NA","NA","0"
"467","Anthranilic acid","2-Aminobenzoic acid","HMDB0001123","227","30754","C00108","6018","C1=CC=C(C(=C1)C(=O)O)N","1"
"468","Malonamide","NA","NA","NA","NA","NA","NA","NA","0"
"469","Tartronic acid","Hydroxypropanedioic acid","HMDB0035227","45","16513","C02287",NA,"C(C(=O)O)(C(=O)O)O","1"
"470","NA_204_189_133_105_91","NA","NA","NA","NA","NA","NA","NA","0"
"471","NA_204_189_119_93","NA","NA","NA","NA","NA","NA","NA","0"
"472","NA149012","NA","NA","NA","NA","NA","NA","NA","0"
"473","4-Hydroxybenzaldehyde_21TMS","NA","NA","NA","NA","NA","NA","NA","0"
"474","Pentadecane. n-","NA","NA","NA","NA","NA","NA","NA","0"
"475","Erythritol","Erythritol","HMDB0002994","222285","17113","C00503","140","C([C@H]([C@H](CO)O)O)O","1"
"476","NA","NA","NA","NA","NA","NA","NA","NA","0"
"477","Nicotinamide","Niacinamide","HMDB0001406","936","17154","C00153","1497","C1=CC(=CN=C1)C(=O)N","1"
"478","Butyric acid. 2.4-diamino-. DL-","NA","NA","NA","NA","NA","NA","NA","0"
"479","Sorbitol. 1.4:3.6-dianhydro-","NA","NA","NA","NA","NA","NA","NA","0"
"480","Butanoic acid. 4-acetamido-","NA","NA","NA","NA","NA","NA","NA","0"
"481","Hexenedioic acid. 3-trans-","NA","NA","NA","NA","NA","NA","NA","0"
"482","NA_204_161_105","NA","NA","NA","NA","NA","NA","NA","0"
"483","3-Hydroxyundecan-4-one","NA","NA","NA","NA","NA","NA","NA","0"
"484","4-Hydroxybenzaldehyde_11TMS","NA","NA","NA","NA","NA","NA","NA","0"
"485","Serine. N-acetyl-","NA","NA","NA","NA","NA","NA","NA","0"
"486","Asparagine","L-Asparagine","HMDB0000168","6267","17196","C00152","14","C([C@@H](C(=O)O)N)C(=O)N","1"
"487","NA","NA","NA","NA","NA","NA","NA","NA","0"
"488","NA","NA","NA","NA","NA","NA","NA","NA","0"
"489","Putrescine","Putrescine","HMDB0001414","1045","17148","C00134","3226","C(CCN)CN","1"
"490","Adipic acid","Adipic acid","HMDB0000448","196","30832","C06104","115","C(CCC(=O)O)CC(=O)O","1"
"491","NA","NA","NA","NA","NA","NA","NA","NA","0"
"492","Pyroglutamic acid","Pyroglutamic acid","HMDB0000267","7405","18183","C01879","3251","C1CC(=O)N[C@@H]1C(=O)O","1"
"493","NA","NA","NA","NA","NA","NA","NA","NA","0"
"494","Adipo-2.6-lactam","NA","NA","NA","NA","NA","NA","NA","0"
"495","Purine","Purine","HMDB0001366","1044","17258","C15587","6193","C1=C2C(=NC=N1)N=CN2","1"
"496","Anabasine","Anabasine","HMDB0004350","2181","28986","C06180","3283","C1CCNC(C1)C2=CN=CC=C2","1"
"497","Naphthalene. 1.8-ethylene-","NA","NA","NA","NA","NA","NA","NA","0"
"498","Glycine. 2-phenyl-","NA","NA","NA","NA","NA","NA","NA","0"
"499","Iminodiacetic acid","Iminodiacetic acid","HMDB0011753","8897","24786","C19911",NA,"C(C(=O)O)NCC(=O)O","1"
"500","N-methyl cis-4-hydroxymethyl-L-proline","NA","NA","NA","NA","NA","NA","NA","0"
"501","Trigonelline","Trigonelline","HMDB0000875","5570","18123","C01004","273","C[N+]1=CC=CC(=C1)C(=O)[O-]","1"
"502","NA151024","NA","NA","NA","NA","NA","NA","NA","0"
"503","1-Pyrroline-3-hydroxy-5-carboxylic-acid","NA","NA","NA","NA","NA","NA","NA","0"
"504","2-Decenoic-acid","NA","NA","NA","NA","NA","NA","NA","0"
"505","Methionine","L-Methionine","HMDB0000696","6137","16643","C00073","5664","CSCC[C@@H](C(=O)O)N","1"
"506","Aspartic acid","L-Aspartic acid","HMDB0000191","5960","17053","C00049","5206","C([C@@H](C(=O)O)N)C(=O)O","1"
"507","Salicylic acid","Salicylic acid","HMDB0001895","338","16914","C00805","616","C1=CC=C(C(=C1)C(=O)O)O","1"
"508","NA","NA","NA","NA","NA","NA","NA","NA","0"
"509","Glutamic acid. N-methyl-","NA","NA","NA","NA","NA","NA","NA","0"
"510","Maleamic acid","Maleamate","METPA0190",NA,NA,"C01596",NA,NA,"1"
"511","Acetonitrile. 4-hydroxyphenyl-","NA","NA","NA","NA","NA","NA","NA","0"
"512","Proline. 4-hydroxy-. cis-","NA","NA","NA","NA","NA","NA","NA","0"
"513","Phosphonoacetic acid","Phosphonoacetate","HMDB0004110","546","15732","C05682","7018","C(C(=O)O)P(=O)(O)O","1"
"514","Proline. 4-hydroxy-. trans-","NA","NA","NA","NA","NA","NA","NA","0"
"515","Pyroglutamic acid","Pyroglutamic acid","HMDB0000267","7405","18183","C01879","3251","C1CC(=O)N[C@@H]1C(=O)O","1"
"516","Butanoic acid. 4-amino-","NA","NA","NA","NA","NA","NA","NA","0"
"517","NA","NA","NA","NA","NA","NA","NA","NA","0"
"518","Cytosine","Cytosine","HMDB0000630","597","16040","C00380","283","C1=C(NC(=O)N=C1)N","1"
"519","Phenylpyruvic acid","Phenylpyruvic acid","HMDB0000205","997","30851","C00166","328","C1=CC=C(C=C1)CC(=O)C(=O)O","1"
"520","NA","NA","NA","NA","NA","NA","NA","NA","0"
"521","Dodecanoic acid methyl ester","NA","NA","NA","NA","NA","NA","NA","0"
"522","Asparagine","L-Asparagine","HMDB0000168","6267","17196","C00152","14","C([C@@H](C(=O)O)N)C(=O)N","1"
"523","Homoserine lactone. N-butanoyl-","NA","NA","NA","NA","NA","NA","NA","0"
"524","Homoserine lactone. N-butanoyl-","NA","NA","NA","NA","NA","NA","NA","0"
"525","Creatinine","Creatinine","HMDB0000562","588","16737","C00791","8","CN1CC(=O)N=C1N","1"
"526","Perillic acid","Perillic acid","HMDB0004586","1256","36999","C11924",NA,"CC(=C)C1CCC(=CC1)C(=O)O","1"
"527","Imidazole-4-acetic acid. 1-methyl-","NA","NA","NA","NA","NA","NA","NA","0"
"528","Purine","Purine","HMDB0001366","1044","17258","C15587","6193","C1=C2C(=NC=N1)N=CN2","1"
"529","Quinazoline. 4-hydroxy-","NA","NA","NA","NA","NA","NA","NA","0"
"530","Norbornane-2-carboxylic acid. 2-amino-","NA","NA","NA","NA","NA","NA","NA","0"
"531","Unknown#bth-pae-035","NA","NA","NA","NA","NA","NA","NA","0"
"532","Erythronic acid","Erythronic acid","HMDB0000613","2781043","37655","","5586","C([C@H]([C@H](C(=O)O)O)O)O","1"
"533","Glutamic acid","L-Glutamic acid","HMDB0000148","33032","16015","C00025","5174","C(CC(=O)O)[C@@H](C(=O)O)N","1"
"534","Glutaric acid. 3-oxo-","NA","NA","NA","NA","NA","NA","NA","0"
"535","Norbornane-2-carboxylic acid. 2-amino-","NA","NA","NA","NA","NA","NA","NA","0"
"536","Glutaric acid. 2-oxo-","NA","NA","NA","NA","NA","NA","NA","0"
"537","Phenol. 2-amino-","NA","NA","NA","NA","NA","NA","NA","0"
"538","1.4-Naphthoquinone. 2-methyl-","NA","NA","NA","NA","NA","NA","NA","0"
"539","Methyl 3.6-anhydro-alpha-D-galactopyranoside","NA","NA","NA","NA","NA","NA","NA","0"
"540","Unknown#bth-pae-036","NA","NA","NA","NA","NA","NA","NA","0"
"541","Glutamine","L-Glutamine","HMDB0000641","5961","18050","C00064","5614","C(CC(=O)N)[C@@H](C(=O)O)N","1"
"542","Benzene-1.2.3-triol","NA","NA","NA","NA","NA","NA","NA","0"
"543","similar to Ditertbutylphenol","NA","NA","NA","NA","NA","NA","NA","0"
"544","NA","NA","NA","NA","NA","NA","NA","NA","0"
"545","Putrescine. N-methyl-","NA","NA","NA","NA","NA","NA","NA","0"
"546","Creatinine","Creatinine","HMDB0000562","588","16737","C00791","8","CN1CC(=O)N=C1N","1"
"547","Norleucine","L-Norleucine","HMDB0001645","21236","18347","C01933","6334","CCCC[C@@H](C(=O)O)N","1"
"548","Cytosine. 5-methyl-","NA","NA","NA","NA","NA","NA","NA","0"
"549","Imidazole-4-acetic acid","Imidazoleacetic acid","HMDB0002024","96215","16974","C02835","6445","C1=C(NC=N1)CC(=O)O","1"
"550","Cytosine. 5-methyl-","NA","NA","NA","NA","NA","NA","NA","0"
"551","D155405","NA","NA","NA","NA","NA","NA","NA","0"
"552","NA155015","NA","NA","NA","NA","NA","NA","NA","0"
"553","Unknown#bth-pae-037","NA","NA","NA","NA","NA","NA","NA","0"
"554","Threonic acid","Threonic acid","HMDB0000943","151152","49059","C01620","5891","C([C@H]([C@@H](C(=O)O)O)O)O","1"
"555","Cysteine","L-Cysteine","HMDB0000574","5862","17561","C00097","5556","C([C@@H](C(=O)O)N)S","1"
"556","Cinnamic acid. trans-","NA","NA","NA","NA","NA","NA","NA","0"
"557","Undecanoic acid","Undecanoic acid","HMDB0000947","8180","32368","C17715","5894","CCCCCCCCCCC(=O)O","1"
"558","Maleamic acid. N-ethyl-","NA","NA","NA","NA","NA","NA","NA","0"
"559","Phenethylamine","Phenylethylamine","HMDB0012275","1001","18397","C05332",NA,"C1=CC=C(C=C1)CCN","1"
"560","NA","NA","NA","NA","NA","NA","NA","NA","0"
"561","Acetic acid. 2-hydroxyphenyl-","NA","NA","NA","NA","NA","NA","NA","0"
"562","Maleamic acid","Maleamate","METPA0190",NA,NA,"C01596",NA,NA,"1"
"563","Uracil. dihydro-","NA","NA","NA","NA","NA","NA","NA","0"
"564","D156267","NA","NA","NA","NA","NA","NA","NA","0"
"565","NA156013 (classified unknown)","NA","NA","NA","NA","NA","NA","NA","0"
"566","Cis.cis-Muconic-acid","NA","NA","NA","NA","NA","NA","NA","0"
"567","Unknown#bth-pae-038","NA","NA","NA","NA","NA","NA","NA","0"
"568","Phenylalanine","L-Phenylalanine","HMDB0000159","6140","17295","C00079","28","C1=CC=C(C=C1)C[C@@H](C(=O)O)N","1"
"569","Malic acid. 3-isopropyl-. threo-","NA","NA","NA","NA","NA","NA","NA","0"
"570","NA","NA","NA","NA","NA","NA","NA","NA","0"
"571","NA157004","NA","NA","NA","NA","NA","NA","NA","0"
"572","NA","NA","NA","NA","NA","NA","NA","NA","0"
"573","NA","NA","NA","NA","NA","NA","NA","NA","0"
"574","NA","NA","NA","NA","NA","NA","NA","NA","0"
"575","similar to Asparagine Derivate","NA","NA","NA","NA","NA","NA","NA","0"
"576","Ribose. 2-deoxy-","NA","NA","NA","NA","NA","NA","NA","0"
"577","Butanoic acid. 2.4-diamino-","NA","NA","NA","NA","NA","NA","NA","0"
"578","Glycolic acid-2-phosphate","NA","NA","NA","NA","NA","NA","NA","0"
"579","similar to Asparagine Derivate","NA","NA","NA","NA","NA","NA","NA","0"
"580","Ribose. 2-deoxy-","NA","NA","NA","NA","NA","NA","NA","0"
"581","Ethanol. 2-(4-hydroxyphenyl)-","NA","NA","NA","NA","NA","NA","NA","0"
"582","Barbituric acid","NA","NA","NA","NA","NA","NA","NA","0"
"583","Dodecanol","Dodecanol","HMDB0011626","8193","28878","C02277",NA,"CCCCCCCCCCCCO","1"
"584","Malic acid. 2-isopropyl-","NA","NA","NA","NA","NA","NA","NA","0"
"585","Glutaric acid. 2-oxo-","NA","NA","NA","NA","NA","NA","NA","0"
"586","Serine","L-Serine","HMDB0000187","5951","17115","C00065","5203","C([C@@H](C(=O)O)N)O","1"
"587","Benzoic acid. 3-hydroxy-","NA","NA","NA","NA","NA","NA","NA","0"
"588","Nicotinic acid. 6-hydroxy-","NA","NA","NA","NA","NA","NA","NA","0"
"589","NA","NA","NA","NA","NA","NA","NA","NA","0"
"590","Glutaric acid. 2-hydroxy-","NA","NA","NA","NA","NA","NA","NA","0"
"591","NA","NA","NA","NA","NA","NA","NA","NA","0"
"592","Benzoic acid. 3-amino-2.3-dihydro-","NA","NA","NA","NA","NA","NA","NA","0"
"593","Lactic acid. 3-phenyl-","NA","NA","NA","NA","NA","NA","NA","0"
